Player 2 initial hand: 3 2 2 13
Player 2 draws a 3 from deck 2
Player 2 discards a 3 to deck 1
Player 2 draws a 9 from deck 2
Player 2 discards a 3 to deck 1
Player 2 draws a 12 from deck 2
Player 2 discards a 9 to deck 1
Player 2 draws a 10 from deck 2
Player 2 discards a 12 to deck 1
Player 2 draws a 10 from deck 2
Player 2 discards a 10 to deck 1
Player 2 draws a 4 from deck 2
Player 2 discards a 10 to deck 1
Player 2 draws a 9 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 8 from deck 2
Player 2 discards a 9 to deck 1
Player 2 draws a 1 from deck 2
Player 2 discards a 8 to deck 1
Player 2 draws a 1 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 6 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 15 from deck 2
Player 2 discards a 6 to deck 1
Player 2 draws a 2 from deck 2
Player 2 discards a 15 to deck 1
Player 2 draws a 7 from deck 2
Player 2 discards a 13 to deck 1
Player 2 draws a 6 from deck 2
Player 2 discards a 7 to deck 1
Player 2 draws a 5 from deck 2
Player 2 discards a 6 to deck 1
player 3 has informed player 2 that player 3 has won
Player 2 exits
player 2 hand: 2 2 2 5
