
Player 3 initial hand: 10 9 3 1
Player 3 draws a 4 from deck 3
Player 3 discards a 10 to deck 2
Player 3 draws a 3 from deck 3
Player 3 discards a 4 to deck 2
Player 3 draws a 8 from deck 3
Player 3 discards a 9 to deck 2
Player 3 draws a 1 from deck 3
Player 3 discards a 8 to deck 2
Player 3 draws a 1 from deck 3
Player 3 discards a 1 to deck 2
Player 3 draws a 6 from deck 3
Player 3 discards a 1 to deck 2
Player 3 draws a 15 from deck 3
Player 3 discards a 6 to deck 2
Player 3 draws a 2 from deck 3
Player 3 discards a 15 to deck 2
Player 3 draws a 7 from deck 3
Player 3 discards a 2 to deck 2
Player 3 draws a 6 from deck 3
Player 3 discards a 7 to deck 2
Player 3 draws a 5 from deck 3
Player 3 discards a 6 to deck 2
Player 3 draws a 2 from deck 3
Player 3 discards a 5 to deck 2
Player 3 draws a 8 from deck 3
Player 3 discards a 2 to deck 2
Player 3 draws a 14 from deck 3
Player 3 discards a 8 to deck 2
Player 3 draws a 3 from deck 3
Player 3 discards a 14 to deck 2
Player 3 draws a 3 from deck 3
Player 3 discards a 1 to deck 2
Player 3 wins!
Player 3 exits
player 3 hand: 3 3 3 3
